Id,SalePrice
1461,126005
1462,150826
1463,173659
1464,193686
1465,181385
1466,179524
1467,159985
1468,173205
1469,189408
1470,115877
1471,184328
1472,93520.3
1473,100918
1474,157129
1475,138981
1476,327105
1477,250772
1478,305233
1479,172902
1480,495575
1481,306698
1482,202938
1483,169281
1484,173467
1485,176963
1486,196505
1487,302419
1488,234227
1489,222335
1490,195469
1491,188653
1492,92828.9
1493,189606
1494,274332
1495,286584
1496,215772
1497,187554
1498,158337
1499,157969
1500,143357
1501,184741
1502,158007
1503,296249
1504,219001
1505,238115
1506,196449
1507,253549
1508,202499
1509,167870
1510,154876
1511,144076
1512,168296
1513,162141
1514,171664
1515,186755
1516,150945
1517,152124
1518,125276
1519,218695
1520,137674
1521,143613
1522,160349
1523,109785
1524,115194
1525,121701
1526,125898
1527,91442.8
1528,131183
1529,149954
1530,176850
1531,101687
1532,91348.8
1533,146726
1534,112353
1535,161903
1536,106446
1537,68024.7
1538,174660
1539,201953
1540,102975
1541,145778
1542,137679
1543,181920
1544,82638.5
1545,109226
1546,131698
1547,135278
1548,143221
1549,113382
1550,148225
1551,111944
1552,139468
1553,167123
1554,113778
1555,172880
1556,97427.1
1557,104412
1558,101715
1559,96097.2
1560,144107
1561,142061
1562,122234
1563,122028
1564,152782
1565,151577
1566,217592
1567,62834.6
1568,232482
1569,170942
1570,129353
1571,134579
1572,152394
1573,248577
1574,88762.1
1575,216614
1576,220862
1577,215674
1578,150009
1579,146001
1580,185741
1581,144341
1582,124300
1583,330984
1584,227521
1585,142020
1586,73623.5
1587,93958.9
1588,162817
1589,103050
1590,137699
1591,98948.9
1592,126625
1593,112363
1594,133012
1595,106517
1596,247572
1597,159533
1598,212361
1599,169534
1600,153885
1601,66342.8
1602,125673
1603,93994.2
1604,266303
1605,222779
1606,164760
1607,143468
1608,213818
1609,191382
1610,166145
1611,149678
1612,154368
1613,160959
1614,118987
1615,83436.5
1616,71372.8
1617,80992.1
1618,128810
1619,123388
1620,124389
1621,137729
1622,139101
1623,303472
1624,220419
1625,124780
1626,161527
1627,181742
1628,297293
1629,178184
1630,414728
1631,227412
1632,259694
1633,176452
1634,187653
1635,177316
1636,153592
1637,179123
1638,194371
1639,176090
1640,267055
1641,170580
1642,246435
1643,212509
1644,221904
1645,190590
1646,157226
1647,163312
1648,132433
1649,137072
1650,114869
1651,122214
1652,92350.3
1653,91702.3
1654,145335
1655,160310
1656,139822
1657,145677
1658,141666
1659,152329
1660,166527
1661,485107
1662,446323
1663,371098
1664,422760
1665,300285
1666,329149
1667,324058
1668,334298
1669,295704
1670,333165
1671,258296
1672,535646
1673,298192
1674,255408
1675,184747
